id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4776734861297426	,LwcdU5rwe,鱼跃而上的重生之路艰辛曲折，但结局终会圆满，将《鱼跃而上》唱给你们听，也送给自己。#为歌而赞第八期舞台##萨顶顶首唱鱼跃而上梦回与君初相识# 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/o0/S6Xtfefolx07WAggHHLq010412031IRD0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914867&ssig=mAvl%2FBsGbW&KID=unistore,video",,2022-06-04,微博视频号,2196,313,210,"为歌而赞第八期舞台,萨顶顶首唱鱼跃而上梦回与君初相识",,2022-06-04 20:30:01
4776373682441366	,Lw2Pmaf6S,#萨顶顶画中歌一曲知否知否# 画中唱歌还是头一回，真的是一种不一样的体验，记得来看#央视最忆是端午# 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/o0/09leWAmnlx07WyU94xio01041200J9Kg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914867&ssig=Kpdwe4cQWR&KID=unistore,video",,2022-06-03,微博视频号,1264,180,146,"萨顶顶画中歌一曲知否知否,央视最忆是端午",,2022-06-03 20:34:49
4775994999441437	,LvSYzDC9f,#央视最忆是端午# 6月3日19:30，央视综艺频道《最忆是端午》，我们不见不散。 ,,https://wx1.sinaimg.cn/large/001ks5QYly1h2u0eixgw0j61qi334kjn02.jpg,,,2022-06-02,新版微博 weibo.com,384,88,20,央视最忆是端午,,2022-06-02 19:30:04
4775172060483594	,Lvxzg21NU,#萨顶顶新歌大音钟情#大音不再希声，而是与我们钟情同乐。很荣幸为国宝「曾侯乙编钟」献唱《大音钟情》，穿越时光的斑驳，一起感受历史一起感受编钟的神秘。很高兴再次与词作家@喻江 合作。大音钟情 ,,,,,2022-05-31,新版微博 weibo.com,322,69,36,萨顶顶新歌大音钟情,喻江,2022-05-31 13:00:00
4772983896539902	,LuCDXrrki,穿越人海，只为与你探讨音乐的秘密#为歌而赞第四轮艺人阵容# ,,https://wx3.sinaimg.cn/large/001ks5QYly1h2jsrv49byj61o02you0z02.jpg,,,2022-05-25,新版微博 weibo.com,521,108,56,为歌而赞第四轮艺人阵容,,2022-05-25 12:05:00
4757803581836484	,LofJA7HKI,玲娜贝儿狐狸爸爸: @付影帝 狐王卿玄我来了我去打架了我被抓了我被放出来了我为保护族人炸了我植物狐了我醒了我碰瓷儿被崩了我晕了我领盒饭了我经纪人盒饭领的太多了，吃胖了#狐王版玲娜贝儿领不完的盒饭##恰似故人归#  @驭鲛记之恰似故人归 #与君初相识# 萨顶顶的微博视频 ,,,"https://f.video.weibocdn.com/o0/SZjstX98lx07VfaDsSY001041200w1ay0E010.mp4?label=mp4_720p&template=1280x656.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1655914868&ssig=h8qeny%2F9dn&KID=unistore,video",,2022-04-13,微博视频号,3126,1183,145,"狐王版玲娜贝儿领不完的盒饭,恰似故人归,与君初相识","付影帝,驭鲛记之恰似故人归",2022-04-13 14:43:52
4753789301037449	,LmziW4lT3,#屈原跨越两千年时空重新定义浪漫##国乐大典# 对音乐的要求一直以来都是表达内心的力量，心中流淌出的音乐才是最打动人的。很感谢《国乐大典》第四季的舞台，让更多喜爱民乐的年轻人表达自己对于音乐的理解。祝贺我们的闻道者战队成功卫冕《国乐大典》第四季冠军，希望我们能将这份坚持与信念延续下去，创作出更多经典之作。广东卫视国乐大典的微博视频,,,"https://f.video.weibocdn.com/o0/Pz33DArllx07UWiNc6sg0104120398ye0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1655914988&ssig=5sSc5C%2FsjZ&KID=unistore,video",,2022-04-02,微博视频号,1470,74,37,"屈原跨越两千年时空重新定义浪漫,国乐大典",,2022-04-02 12:52:33
4753517107745976	,LmsdUwv56,一大早就收到很多朋友私信说，在#与君初相识# 剧中看到了我的经纪人，是的，我经纪人付老师@付影帝  拍了好几部作品了。 就像弹幕呈现的那样，付老师一出场就被弹幕刷屏了：《香蜜沉沉烬如霜》的鸟族“隐雀长老”、《长歌行》里“炻辛思力”，“隐雀成了穗禾她爹”……饰演过的角色都爆出来了😁更有意思的是这次付老师演的狐王撞脸了玲娜贝儿，就是年龄比玲娜贝儿大了点，应该是属于爸爸版的玲娜贝儿吧～#与君初相识狐王撞脸玲娜贝儿# @驭鲛记之与君初相识 大理·大理古镇,,"https://wx4.sinaimg.cn/large/001ks5QYly1h0u8y5dfbtj60we1emqgg02.jpg,https://wx3.sinaimg.cn/large/001ks5QYly1h0u8y2y303j612i0u0jzq02.jpg,https://wx4.sinaimg.cn/large/001ks5QYly1h0u8y39ks5j60kh0aagno02.jpg,https://wx2.sinaimg.cn/large/001ks5QYly1h0u8y4lcv3j60u01ay1kx02.jpg",,大理·大理古镇,2022-04-01,iPhone 13 Pro Max,4142,513,100,"与君初相识,与君初相识狐王撞脸玲娜贝儿","付影帝,驭鲛记之与君初相识",2022-04-01 18:50:57
4747963182614340	,Lk7JYaY6M,#萨顶顶从仙侠剧的全世界路过#听说大家虐到顶不住，我陪大家一起顶#萨顶顶又来过仙侠瘾了# #电视剧与君初相识# ,,https://wx4.sinaimg.cn/large/001ks5QYly1h0cp5g6zszj60hu0hu75x02.jpg,,,2022-03-17,iPhone 11,8919,436,229,"萨顶顶从仙侠剧的全世界路过,萨顶顶又来过仙侠瘾了,电视剧与君初相识",,2022-03-17 11:01:38
4747947700916219	,Lk7l03QlJ,#与君初相识MV##萨顶顶鱼跃而上MV#不惧不移，与君点亮星海。我为#电视剧与君初相识# 创作并演唱的歌曲《鱼跃而上》上线了，希望大家喜欢。@陈嬛erika 的 歌词优美而充满诗意，真挚热烈，#与君初相识只看MV就流泪了# 很高兴能和与君初相识结缘#萨顶顶又来过仙侠瘾了#这次确实过瘾了。@QQ音乐：鱼跃而上@酷我音乐：网页链接@酷狗音乐：网页链接@咪咕音乐：网页链接剧集与君初相识_恰似故人归的优酷视频,,,https://api.youku.com/videos/player/file?data=WcEl5oUuZdzFNVEV5T0RVME5BPT18MHwxfDEwMDUwfDAO0O0O,,2022-03-17,微博视频号,8483,703,1333,"与君初相识MV,萨顶顶鱼跃而上MV,电视剧与君初相识,与君初相识只看MV就流泪了,萨顶顶又来过仙侠瘾了","陈嬛erika,QQ音乐,酷我音乐,酷狗音乐,咪咕音乐",2022-03-17 10:00:07
